"","song","n","unique","proportion","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","album","energy","liveness","tempo","speechiness","acousticness","instrumentalness","time_signature","danceability","key","duration_ms","loudness","valence","mode","class"
"1","10 Bands",488,207,0.424180327868852,0.0122950819672131,0.0163934426229508,0.00819672131147541,0.00409836065573771,0.0163934426229508,0.014344262295082,0.0266393442622951,0.00204918032786885,0.00614754098360656,0.0163934426229508,"IYRTITL",0.757,0.0762,172.938,0.384,0.262,1.72e-06,4,0.825,11,177733,-3.687,0.89,0,"New Drake"
"2","4422",180,46,0.255555555555556,0.00555555555555556,NA,NA,0.0111111111111111,NA,0.0111111111111111,0.0111111111111111,NA,0.00555555555555556,0.00555555555555556,"More Life",0.229,0.113,111.887,0.0333,0.558,0.0413,4,0.61,11,186293,-12.36,0.19,0,"New Drake"
"3","6 God",512,192,0.375,0.01953125,0.009765625,0.01171875,0.01171875,0.005859375,0.0234375,0.01171875,0.009765625,0.001953125,0.01171875,"IYRTITL",0.623,0.125,105.45,0.106,0.0248,0,4,0.859,2,180667,-8.596,0.482,1,"New Drake"
"4","6 Man",358,153,0.427374301675978,0.00279329608938547,0.0167597765363128,0.00279329608938547,0.00837988826815642,0.0167597765363128,0.0195530726256983,0.0251396648044693,0.0111731843575419,0.00837988826815642,0.0195530726256983,"IYRTITL",0.535,0.114,78.974,0.449,0.217,0,4,0.812,4,167653,-9.306,0.321,1,"New Drake"
"5","6PM in New York",914,410,0.448577680525164,0.0185995623632385,0.012035010940919,0.00984682713347921,0.0164113785557987,0.0142231947483589,0.0295404814004376,0.0273522975929978,0.0109409190371991,0.012035010940919,0.0196936542669584,"IYRTITL",0.849,0.155,128.428,0.25,0.107,0,3,0.554,5,283307,-4.154,0.386,1,"New Drake"
"6","8 Out Of 10",419,195,0.465393794749403,0.0214797136038186,0.0190930787589499,0.0119331742243437,0.00954653937947494,0.0238663484486874,0.0238663484486874,0.035799522673031,0.00715990453460621,0.00715990453460621,0.0190930787589499,"Scorpion",0.684,0.499,170.416,0.717,0.164,0,4,0.534,11,195720,-7.874,0.338,0,"New Drake"
"7","9",501,193,0.385229540918164,0.00998003992015968,0.0159680638722555,0.00598802395209581,0.0139720558882236,0.0119760479041916,0.0179640718562874,0.0179640718562874,0.0119760479041916,0.00598802395209581,0.0179640718562874,"Views",0.699,0.246,99.991,0.044,0.00113,0.000779,4,0.703,2,255787,-7.322,0.0393,1,"New Drake"
"8","After Dark",584,240,0.410958904109589,0.00856164383561644,0.0136986301369863,0.00342465753424658,0.00684931506849315,0.0102739726027397,0.0171232876712329,0.0222602739726027,0.0102739726027397,0.00171232876712329,0.011986301369863,"Scorpion",0.429,0.139,141.855,0.192,0.0386,0,4,0.65,2,289560,-13.071,0.333,1,"New Drake"
"9","Blem",378,121,0.32010582010582,0.00793650793650794,0.00264550264550265,0.00264550264550265,0.00529100529100529,0.00264550264550265,0.00529100529100529,0.0185185185185185,0.00264550264550265,0.00264550264550265,0.00793650793650794,"More Life",0.535,0.0984,98.067,0.0476,0.0533,1.38e-05,4,0.726,7,216558,-7.804,0.375,0,"New Drake"
"10","Can't Have Everything",565,293,0.51858407079646,0.0141592920353982,0.0176991150442478,0.0141592920353982,0.0176991150442478,0.0212389380530973,0.0300884955752212,0.0389380530973451,0.0141592920353982,0.0123893805309735,0.0300884955752212,"More Life",0.572,0.121,82.445,0.373,0.0136,1.55e-06,4,0.856,1,228438,-8.429,0.454,1,"New Drake"
