energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,title,artist,album,predictions
0.899,0.0959,76.93,0.395,0.009340000000000001,0.0,4,0.314,6,310936,-4.0,0.8590000000000001,0,audio_features,spotify:track:22CBNGzjjfqOKqjdKLKoTQ,My Darlin Baby,Champagne Pa,Even Closer To My Dreams,0.002179239578266452
0.698,0.0719,132.981,0.35,0.0924,0.0,5,0.48200000000000004,6,211853,-6.7010000000000005,0.899,0,audio_features,spotify:track:1Zjn2BMaHsXG43bTGuTZf0,Change You,Jenna,The Radio Singles,0.009797952553465281
0.5529999999999999,0.111,84.24,0.457,0.254,0.0,5,0.5479999999999999,9,306067,-10.328,0.8740000000000001,1,audio_features,spotify:track:6PCTcrrmgzkk8f7KM8hSDi,Pass The Dutch,Young Money,We Are Young Money,0.01653923702375419
0.799,0.0562,102.32700000000001,0.284,0.109,0.0,5,0.521,9,302602,-6.183,0.821,0,audio_features,spotify:track:18e0XBdZg0g6INSn0p50fh,Man Of The Year,Champagne Pa,Closer To My Dreams,0.023621149763250908
0.777,0.0837,116.477,0.047,0.00324,0.00125,4,0.41,5,254293,-8.538,0.609,1,audio_features,spotify:track:7yz2gGAf8i13FnAu4JmC6Q,Sunflower - feat. Drake,Lenny Kravitz,Black and White America,0.028083507468475485
0.764,0.156,159.952,0.45799999999999996,0.0494,0.0,4,0.41700000000000004,1,264120,-5.364,0.525,1,audio_features,spotify:track:7zOTHPkTMxYNpYaFUCokmV,What Up,Pimp C,The Naked Soul of Sweet Jones,0.032595351299205336
0.7709999999999999,0.11900000000000001,76.222,0.42,0.27899999999999997,0.0,4,0.499,8,328573,-4.851,0.748,1,audio_features,spotify:track:5Us8wh9hCAQ8Uq1ast5CWz,Thank Me Now,Drake,Thank Me Later (Int'l Version),0.04046258759623886
0.812,0.21,159.869,0.24100000000000002,0.0184,0.000375,4,0.461,10,193902,-5.776,0.72,0,audio_features,spotify:track:3pC1ILr9KzmQLMe8Kn5QBG,To the Max,DJ Khaled,To the Max,0.04404472597529265
0.8390000000000001,0.0622,93.524,0.306,0.0662,0.0,4,0.579,10,114077,-7.232,0.7240000000000001,0,audio_features,spotify:track:206LpI7P45CdZQOM3KFLe3,Where To Now,Champagne Pa,Closer To My Dreams,0.04732811025739087
0.847,0.124,99.76799999999999,0.20199999999999999,0.0107,0.0,5,0.39,4,233560,-5.611000000000001,0.44799999999999995,0,audio_features,spotify:track:1EoHEkVcysf4WVDx6r9WzQ,Over,Drake,Thank Me Later (Int'l Version),0.05009318671519276
0.7829999999999999,0.11,83.944,0.18100000000000002,0.0615,0.0,4,0.33399999999999996,9,280404,-6.144,0.308,0,audio_features,spotify:track:6WoU9Joc473Jrc7NNrpGIZ,Fear,Drake,So Far Gone,0.05635161844115447
0.894,0.188,162.19299999999998,0.33,0.0951,0.0,4,0.431,5,258760,-2.673,0.604,0,audio_features,spotify:track:1GxHeBvQ9935Dd3cSfsfBa,Best I Ever Had,Drake,Thank Me Later (Int'l Version),0.06546888853215269
0.309,0.12,65.041,0.385,0.166,0.0,4,0.5670000000000001,8,321080,-14.254000000000001,0.509,1,audio_features,spotify:track:74atKkOasLOVzvqB6mYgga,The Real Her,Drake,Take Care (Deluxe),0.06609183063982317
0.674,0.0906,213.737,0.358,0.018000000000000002,0.0,4,0.5329999999999999,1,278787,-5.862,0.602,1,audio_features,spotify:track:2tYzBN5rGuA6qVwxDKk1Ip,Digital Girl Remix - Original Remix,Jamie Foxx,Digital Girl Remix (Original Remix),0.0673102608401476
0.884,0.503,81.14399999999999,0.401,0.22899999999999998,0.0,4,0.504,10,202240,-7.311,0.932,0,audio_features,spotify:track:0GjbslizkTJiMEPPPdsCBD,Barry Bonds,Champagne Pa,Closer To My Dreams,0.07348822605039865
0.627,0.0795,98.21,0.252,0.12300000000000001,0.0,3,0.444,7,206627,-8.744,0.359,0,audio_features,spotify:track:0m1KYWlT6LhFRBDVq9UNx4,HYFR (Hell Ya Fucking Right),Drake,Take Care (Deluxe),0.0810740763051031
0.545,0.0859,77.125,0.48200000000000004,0.31,0.0,4,0.748,1,127817,-12.276,0.851,1,audio_features,spotify:track:1nottDE1NL5MSSWrlx5Xs7,July,Champagne Pa,Closer To My Dreams,0.09062025747764722
0.613,0.0286,96.03399999999999,0.17300000000000001,0.0209,0.0,4,0.625,6,208947,-6.005,0.737,0,audio_features,spotify:track:18PSaTJMLkFNWnW0NWdOAW,Find Your Love,Drake,Thank Me Later (Int'l Version),0.09560071254528438
0.85,0.142,152.102,0.25,0.047,0.0,4,0.48700000000000004,1,216333,-5.4270000000000005,0.523,1,audio_features,spotify:track:1sPLURKAosM3Jampgp9AWq,Sandra’s Rose,Drake,Scorpion,0.10118062281593253
0.488,0.107,73.509,0.294,0.7809999999999999,0.0,5,0.38799999999999996,11,281678,-7.837000000000001,0.5479999999999999,0,audio_features,spotify:track:3uhzuJujperrebqY70RJG1,Trust Issues,Champagne Pa,Even Closer To My Dreams,0.10540599513262548
0.8640000000000001,0.331,100.814,0.603,0.081,0.0,5,0.429,2,305520,-5.975,0.33299999999999996,1,audio_features,spotify:track:53VIWPPMz9S7ob0D8JxF9N,Miss Me,Drake,Thank Me Later (Int'l Version),0.10726719813621062
0.456,0.10099999999999999,81.579,0.0633,0.685,2.5e-05,4,0.424,11,253597,-12.315999999999999,0.593,0,audio_features,spotify:track:7CcZxHebD3G7NHX20pV4Np,I Get Lonely Too,Champagne Pa,Even Closer To My Dreams,0.10800782197237183
0.616,0.141,86.219,0.0804,0.679,2.4299999999999998e-05,4,0.409,6,239882,-9.584,0.655,0,audio_features,spotify:track:2K6CmoAlg0lUMnfIWyONEs,Club Paradise,Empire,Power 16,0.10828581323015782
0.642,0.389,83.24600000000001,0.321,0.131,0.0,4,0.528,1,149577,-8.156,0.725,1,audio_features,spotify:track:4md7eAD6z2V4HJmQ3n4ZAI,Going In For Life,Champagne Pa,Closer To My Dreams,0.12734923103165519
0.41600000000000004,0.0974,86.678,0.384,0.0931,1.12e-05,3,0.511,0,209288,-9.203,0.289,0,audio_features,spotify:track:7jyDNWA876J5iY3YT2GAZD,Scholarships,Drake,What A Time To Be Alive,0.1377760432254736
0.6709999999999999,0.212,83.07799999999999,0.47700000000000004,0.764,0.0,4,0.44,3,234387,-10.597999999999999,0.479,0,audio_features,spotify:track:6FedhFiHb0KxTvOD1qEX8L,In the Morning,J. Cole,Cole World: The Sideline Story,0.14349516355769149
0.77,0.24,86.902,0.29600000000000004,0.537,5.62e-06,4,0.563,11,229146,-12.877,0.696,1,audio_features,spotify:track:2d619casRJTy5SuzRy7wXW,You Know You Know,Champagne Pa,Closer To My Dreams,0.14919658514560974
0.925,0.174,104.855,0.35,0.248,0.0,5,0.45899999999999996,5,357920,-1.327,0.5329999999999999,0,audio_features,spotify:track:0Bpkq4z0VfjkO7kUME8gks,Forever,Drake,Forever,0.14936272725485172
0.638,0.11,160.158,0.8959999999999999,0.828,0.00020099999999999998,4,0.479,11,244645,-12.112,0.19,0,audio_features,spotify:track:1tcLxH1WhA2oORQKDUFsS4,The Calm,Drake,So Far Gone,0.1516119909239489
0.7120000000000001,0.198,156.209,0.27,5.2000000000000004e-05,0.0,4,0.48700000000000004,8,212613,-7.3229999999999995,0.397,1,audio_features,spotify:track:1D9XLqQp2YYiOxrr5KLb8K,Under Ground Kings,Drake,Take Care (Deluxe),0.15293733244083435
0.617,0.14800000000000002,93.945,0.591,0.223,0.00688,4,0.745,8,106627,-7.642,0.802,0,audio_features,spotify:track:2wPcX8yxKCYXIsTjzNSZWO,Share,Slakah The Beatchild,Soul Movement Vol I,0.1552063587568786
0.852,0.13,113.619,0.25,0.307,0.0,5,0.519,1,247667,-6.696000000000001,0.551,0,audio_features,spotify:track:1pEDdOIbtqaFb72B3pOrsY,Throw It In The Bag - Remix,Fabolous,Mandated,0.16139456324218948
0.737,0.11599999999999999,81.475,0.188,0.83,0.0,4,0.439,0,225360,-8.123,0.631,1,audio_features,spotify:track:31FWGQxshq14SCZvvyHae1,The Resistance,Drake,Thank Me Later (Int'l Version),0.16351972238104065
0.763,0.10300000000000001,170.03099999999998,0.377,0.0389,0.0,4,0.662,1,223701,-8.455,0.5660000000000001,1,audio_features,spotify:track:04T3yZYt92tBvgqxTdeJxd,I'm Goin In,Drake,So Far Gone,0.17447200013613046
0.35100000000000003,0.0967,134.369,0.34,0.485,0.0,4,0.495,3,301960,-14.669,0.271,0,audio_features,spotify:track:7t1lBIr3WIEtqQEOdZFMUf,Look What You've Done,Drake,Take Care (Deluxe),0.18997552428732659
0.6579999999999999,0.0805,151.026,0.11,0.009009999999999999,0.0189,4,0.7559999999999999,0,227973,-7.124,0.9540000000000001,1,audio_features,spotify:track:3bnVNMCk5FJulcpS7aXJbY,Karaoke,Drake,Thank Me Later (Int'l Version),0.1914073218281483
0.507,0.113,106.96700000000001,0.0919,0.41,0.000117,4,0.633,5,254480,-12.488,0.7490000000000001,0,audio_features,spotify:track:3iESHfoVBkzBt325gEYjJY,Where Were You,Aubrey,Drank,0.1936183629397804
0.7559999999999999,0.162,89.45299999999999,0.35600000000000004,0.434,0.0,4,0.52,0,313267,-6.472,0.5329999999999999,1,audio_features,spotify:track:4pUUhsc8fmZqnsPaOSU5CP,Fireworks,Drake,Thank Me Later (Int'l Version),0.19889976001267032
0.674,0.415,130.585,0.225,0.0176,0.0,4,0.467,6,239187,-5.919,0.581,0,audio_features,spotify:track:2ukW8cSQW0qvMomTF7FkAS,No Lie,2 Chainz,No Lie (Explicit Version),0.1995454315420713
0.7040000000000001,0.0821,76.40899999999999,0.297,0.0499,0.0,4,0.573,8,199173,-7.45,0.371,0,audio_features,spotify:track:6TCWK0swzjyTDVd5DkMdEK,Killer (feat. Drake),Nipsey Hussle,Bullets Ain't Got No Name Vol. 3.1,0.200141231828908
0.642,0.213,117.286,0.0658,0.0201,0.00010800000000000001,4,0.39799999999999996,4,129867,-6.709,0.298,1,audio_features,spotify:track:60h8MWD0VoidWGL5cuICnm,Something More,Aubrey,Drank,0.20100294228721774
0.7440000000000001,0.319,76.171,0.252,0.0029100000000000003,0.0,4,0.605,4,313400,-5.5,0.743,1,audio_features,spotify:track:2Vf9DiamkE8MHbjj1BXoKG,EveryGirl In The World,Young Money,We Are Young Money,0.20165703146713052
0.755,0.114,93.685,0.5,0.139,1.3699999999999998e-05,4,0.5379999999999999,2,433800,-6.766,0.261,1,audio_features,spotify:track:4RI9eX7jNcdaQOJifn7t6z,Pound Cake / Paris Morton Music 2,Drake,Nothing Was The Same (Deluxe),0.20242674184686937
0.715,0.106,92.93299999999999,0.261,0.142,0.0,4,0.733,1,311536,-5.614,0.8690000000000001,1,audio_features,spotify:track:3hDm6Z9TeSVRVpvi468hJR,Closer,Champagne Pa,Even Closer To My Dreams,0.20419730948846154
0.527,0.146,100.12,0.17300000000000001,0.185,0.0,4,0.435,9,211427,-8.057,0.28300000000000003,1,audio_features,spotify:track:2f3qhXIqyplACygV2R90cP,Waiting Up,Aubrey,Drank,0.20589475566613413
0.546,0.22899999999999998,160.15200000000002,0.23800000000000002,0.22699999999999998,0.0,4,0.418,0,208813,-9.057,0.294,0,audio_features,spotify:track:0V4l4GQhgnWQGtCWpvA7va,Crew Love,Drake,Take Care (Deluxe),0.21278803425009635
0.907,0.151,86.152,0.415,0.0946,0.0,4,0.484,8,274147,-5.996,0.20600000000000002,1,audio_features,spotify:track:23Cx5Jv0bsCMoUnoygy5jy,Light Up,Drake,Thank Me Later (Int'l Version),0.2149613260806585
0.511,0.10400000000000001,65.256,0.475,0.165,8.950000000000001e-05,4,0.605,11,236973,-8.094,0.379,0,audio_features,spotify:track:7n4Kv0ArEyRh8p4wO5fG78,Preach,Drake,If You're Reading This It's Too Late,0.21543774119969158
0.7190000000000001,0.162,162.09,0.29100000000000004,0.0833,0.0,4,0.44799999999999995,7,267720,-4.178999999999999,0.301,0,audio_features,spotify:track:3ejrk4i0LWIofaaBEmwX0A,Stay Schemin,Rick Ross,Stay Schemin,0.21657726099761535
0.95,0.163,151.955,0.213,0.0114,0.0,4,0.677,1,251760,-3.807,0.8009999999999999,1,audio_features,spotify:track:68m5wT9BdSUhl60HOhiZGE,Mo Milly,Birdman,Pricele$$ (UK Deluxe Edition Explicit),0.22164779614428534
0.682,0.175,189.94799999999998,0.037000000000000005,0.0288,0.0,4,0.42700000000000005,8,244920,-2.2680000000000002,0.455,0,audio_features,spotify:track:3OvMaOliEB2Q79RC6MDpYl,Loving You No More,Diddy - Dirty Money,Last Train To Paris [Deluxe (Explicit Version)],0.22950993886579307
0.57,0.179,185.516,0.306,0.759,2.1000000000000002e-06,4,0.489,1,272573,-10.290999999999999,0.584,1,audio_features,spotify:track:2Gnsof1hvZzjE1xdLRpjtf,Over My Dead Body,Drake,Take Care (Deluxe),0.22981501886002217
0.239,0.12,104.675,0.0876,0.574,7.759999999999999e-05,4,0.446,1,237733,-15.327,0.31,1,audio_features,spotify:track:0jF2AdhsalO1L7KkhK4LE5,Practice,Drake,Take Care (Deluxe),0.24290549253170052
0.795,0.042,149.981,0.335,0.17800000000000002,0.0,4,0.503,10,289707,-4.505,0.265,1,audio_features,spotify:track:6fcUfILqe3A1Wfixqy1VGy,Amen - feat. Drake,Meek Mill,Dreams and Nightmares,0.24396099377018532
0.58,0.0497,171.917,0.209,0.0125,0.0,4,0.57,10,270627,-5.547000000000001,0.405,0,audio_features,spotify:track:4kqluSwcQs3kqfK82ZrB93,Aston Martin Music,Rick Ross,Teflon Don,0.24537888169386793
0.7340000000000001,0.11599999999999999,128.31,0.11699999999999999,0.0385,0.0,4,0.665,6,210360,-6.066,0.706,0,audio_features,spotify:track:1G0JddH0MHVg4VE03vheBm,Show Me A Good Time,Drake,Thank Me Later (Int'l Version),0.2540028777207791
0.7020000000000001,0.34299999999999997,155.94799999999998,0.205,0.517,0.0,4,0.556,0,351000,-10.079,0.7929999999999999,0,audio_features,spotify:track:4xRxYWgAtL6pzRz94GlZlA,The Ride,Drake,Take Care (Deluxe),0.258465862143637
0.6940000000000001,0.121,177.77700000000002,0.608,0.91,0.0,4,0.457,6,189769,-7.018,0.38299999999999995,0,audio_features,spotify:track:3bOoByGO6dgf3EYY8pSDaV,Charged Up,Drake,Charged Up,0.2588335284176576
0.6759999999999999,0.0811,173.47799999999998,0.213,0.0239,0.0,4,0.413,1,302173,-5.124,0.0827,1,audio_features,spotify:track:1v1IXPXl73Z7zy6f5tUa9n,Emotionless,Drake,Scorpion,0.26379176205124016
0.909,0.0778,93.469,0.0628,0.0884,0.00011399999999999999,4,0.7,8,210747,-6.461,0.757,1,audio_features,spotify:track:0HVv5bEOiI9a0QfgcASXpX,Nice For What,Drake,Scorpion,0.2654382857688972
0.449,0.115,86.505,0.442,0.428,8.29e-06,4,0.461,0,219960,-10.998,0.10400000000000001,1,audio_features,spotify:track:7ijJ5crvsnCvCLJbHpyq3j,Final Fantasy,Drake,Scorpion,0.2663270829257696
0.603,0.115,94.992,0.0331,0.0538,5.83e-06,4,0.436,9,154120,-6.882000000000001,0.22699999999999998,0,audio_features,spotify:track:147TR5QZzxTnnwqltaRi4N,Cece's Interlude,Drake,Thank Me Later (Int'l Version),0.26665693245035266
0.26,0.0705,111.51899999999999,0.0921,0.6459999999999999,0.0017800000000000001,5,0.49200000000000005,9,347227,-17.340999999999998,0.312,0,audio_features,spotify:track:047fCsbO4NdmwCBn8pcUXl,Marvins Room,Drake,Take Care (Deluxe),0.2682327947222483
0.745,0.0823,148.042,0.25,0.0311,0.0,4,0.715,9,262440,-5.71,0.687,1,audio_features,spotify:track:5r25QBiGwvvKCmMGO4LmHI,Gonorrhea,Lil Wayne,I Am Not A Human Being,0.27025610315634724
0.758,0.141,140.02,0.26,0.34299999999999997,0.0,4,0.7120000000000001,9,266000,-4.835,0.903,1,audio_features,spotify:track:3KRsRqcimXCJ6uzVm6iPSx,Round Of Applause - feat. Drake,Waka Flocka Flame,Round Of Applause (feat. Drake),0.28662638905584914
0.47600000000000003,0.113,122.976,0.249,0.0773,0.0,5,0.607,10,245227,-11.075999999999999,0.34700000000000003,0,audio_features,spotify:track:6F609ICg9Spjrw1epsAnpa,Controlla,Drake,Views,0.2876382532085256
0.83,0.0755,150.049,0.21100000000000002,0.188,0.0,4,0.767,5,272438,-5.188,0.884,0,audio_features,spotify:track:73uciYJKxzPsweVrTXrdJj,Put It Down (feat. Drake),Drake,Trill O.G.,0.29579245828827266
0.40299999999999997,0.13,139.92,0.147,0.255,1.27e-05,4,0.441,2,434960,-11.18,0.158,0,audio_features,spotify:track:2FbGlEPAjNhWvrVvlentVq,Cameras / Good Ones Go Interlude - Medley,Drake,Take Care (Deluxe),0.29876306251291623
0.495,0.079,128.227,0.0889,0.5720000000000001,0.0,5,0.47,8,236880,-8.34,0.44299999999999995,1,audio_features,spotify:track:4UBVhw7F2XdieAtMntW4MU,Enough Said,Aubrey,Drank,0.29911218739706624
0.813,0.36200000000000004,141.757,0.15,0.023,0.0,4,0.467,1,355004,-5.026,0.478,1,audio_features,spotify:track:4miAiHC7oVoCaPE5cPTudx,The Lights,Champagne Pa,Even Closer To My Dreams,0.3002851684492916
0.376,0.10099999999999999,126.913,0.408,0.743,0.0,4,0.632,11,225776,-14.209000000000001,0.537,0,audio_features,spotify:track:2zotpumS699VgoHFJuUdeY,Girls Love Beyonce,Champagne Pa,Even Closer To My Dreams,0.30605128953473165
0.693,0.11199999999999999,170.982,0.45,0.24600000000000002,0.0,4,0.618,7,283551,-5.943,0.45399999999999996,0,audio_features,spotify:track:1JxV2A7IFlmosxlCckJ8Yc,Do Not Disturb,Drake,More Life,0.30713782931069317
0.66,0.282,118.37700000000001,0.496,0.07400000000000001,0.0,5,0.778,1,247547,-9.508,0.743,1,audio_features,spotify:track:7dCPr8kqjWRmAdm5zGUg17,Stuntin,Lil Wayne,Dedication 3 Gangsta Grillz,0.30848546583345415
0.266,0.16899999999999998,59.122,0.0945,0.596,0.0,4,0.491,6,215144,-15.626,0.368,1,audio_features,spotify:track:0ER8q7eFoMvabfw1S1oT7s,Brand New,Champagne Pa,Closer To My Dreams,0.30897718325987494
0.861,0.0898,92.022,0.248,0.00591,0.0,4,0.498,2,274364,-2.495,0.23,1,audio_features,spotify:track:0rblsRyJ8ziZprfH9daK5P,Jodeci Freestyle,Champagne Pa,Even Closer To My Dreams,0.3098999231657531
