energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,title,artist,album,predictions
0.899,0.0959,76.93,0.395,0.009340000000000001,0.0,4,0.314,6,310936,-4.0,0.8590000000000001,0,audio_features,spotify:track:22CBNGzjjfqOKqjdKLKoTQ,My Darlin Baby,Champagne Pa,Even Closer To My Dreams,0.006919125420863892
0.777,0.0837,116.477,0.047,0.00324,0.00125,4,0.41,5,254293,-8.538,0.609,1,audio_features,spotify:track:7yz2gGAf8i13FnAu4JmC6Q,Sunflower - feat. Drake,Lenny Kravitz,Black and White America,0.007830539210577353
0.682,0.175,189.94799999999998,0.037000000000000005,0.0288,0.0,4,0.42700000000000005,8,244920,-2.2680000000000002,0.455,0,audio_features,spotify:track:3OvMaOliEB2Q79RC6MDpYl,Loving You No More,Diddy - Dirty Money,Last Train To Paris [Deluxe (Explicit Version)],0.008892347083590909
0.57,0.32899999999999996,92.073,0.042,0.0233,0.0,4,0.639,1,204187,-4.966,0.728,1,audio_features,spotify:track:134ih8wLwhgx292RjhefXA,Right Here,Justin Bieber,Believe,0.013473180819796277
0.713,0.7120000000000001,79.934,0.0911,0.0845,0.0,4,0.555,11,240920,-4.5489999999999995,0.725,1,audio_features,spotify:track:49GYdiLjYMrUKr7H5YXHto,Say Something (Featuring Drake),Timbaland,Shock Value II (International Deluxe version),0.017893447347855074
0.616,0.141,86.219,0.0804,0.679,2.4299999999999998e-05,4,0.409,6,239882,-9.584,0.655,0,audio_features,spotify:track:2K6CmoAlg0lUMnfIWyONEs,Club Paradise,Empire,Power 16,0.022408972658705555
0.909,0.0778,93.469,0.0628,0.0884,0.00011399999999999999,4,0.7,8,210747,-6.461,0.757,1,audio_features,spotify:track:0HVv5bEOiI9a0QfgcASXpX,Nice For What,Drake,Scorpion,0.02583117812348096
0.7829999999999999,0.11,83.944,0.18100000000000002,0.0615,0.0,4,0.33399999999999996,9,280404,-6.144,0.308,0,audio_features,spotify:track:6WoU9Joc473Jrc7NNrpGIZ,Fear,Drake,So Far Gone,0.026723268033459348
0.847,0.124,99.76799999999999,0.20199999999999999,0.0107,0.0,5,0.39,4,233560,-5.611000000000001,0.44799999999999995,0,audio_features,spotify:track:1EoHEkVcysf4WVDx6r9WzQ,Over,Drake,Thank Me Later (Int'l Version),0.02704353731419423
0.642,0.213,117.286,0.0658,0.0201,0.00010800000000000001,4,0.39799999999999996,4,129867,-6.709,0.298,1,audio_features,spotify:track:60h8MWD0VoidWGL5cuICnm,Something More,Aubrey,Drank,0.028697091226862995
0.603,0.115,94.992,0.0331,0.0538,5.83e-06,4,0.436,9,154120,-6.882000000000001,0.22699999999999998,0,audio_features,spotify:track:147TR5QZzxTnnwqltaRi4N,Cece's Interlude,Drake,Thank Me Later (Int'l Version),0.02887144317050515
0.675,0.22899999999999998,73.024,0.146,0.345,0.0,4,0.691,3,252960,-5.612,0.925,0,audio_features,spotify:track:1RKSWMAwBTuwhYkZlYskqw,Celebration (feat. Drake),Tank,Now Or Never,0.028918181603067705
0.613,0.0286,96.03399999999999,0.17300000000000001,0.0209,0.0,4,0.625,6,208947,-6.005,0.737,0,audio_features,spotify:track:18PSaTJMLkFNWnW0NWdOAW,Find Your Love,Drake,Thank Me Later (Int'l Version),0.03409346563945629
0.693,0.0826,94.06,0.0332,0.0333,0.00040599999999999995,4,0.782,5,147174,-5.747999999999999,0.7190000000000001,1,audio_features,spotify:track:4Ykrbnzkhzw3p9S8H1Ir7F,Juice,Champagne Pa,Closer To My Dreams,0.03542242985536801
0.799,0.0562,102.32700000000001,0.284,0.109,0.0,5,0.521,9,302602,-6.183,0.821,0,audio_features,spotify:track:18e0XBdZg0g6INSn0p50fh,Man Of The Year,Champagne Pa,Closer To My Dreams,0.03830917597596987
0.784,0.1,100.027,0.0779,0.23199999999999998,0.0,4,0.703,2,263173,-2.9419999999999997,0.569,1,audio_features,spotify:track:5FTCKvxzqy72ceS4Ujux4N,What's My Name?,Rihanna,Loud,0.03984430202148088
0.637,0.0791,97.96700000000001,0.0926,0.203,2.7399999999999995e-05,4,0.8440000000000001,1,227000,-3.136,0.812,0,audio_features,spotify:track:3JgImOzJU8ByzRWcxaLzMF,Enjoy Ya Self V2,Slakah The Beatchild,Soul Movement Vol I,0.04550808283328731
0.812,0.21,159.869,0.24100000000000002,0.0184,0.000375,4,0.461,10,193902,-5.776,0.72,0,audio_features,spotify:track:3pC1ILr9KzmQLMe8Kn5QBG,To the Max,DJ Khaled,To the Max,0.046998217370512685
0.56,0.381,98.85799999999999,0.0448,0.132,0.0,3,0.373,9,328907,-7.615,0.187,0,audio_features,spotify:track:4oew1mJmqFITgwGG7QZl37,Keep The Family Close,Drake,Views,0.049840218366817825
0.456,0.10099999999999999,81.579,0.0633,0.685,2.5e-05,4,0.424,11,253597,-12.315999999999999,0.593,0,audio_features,spotify:track:7CcZxHebD3G7NHX20pV4Np,I Get Lonely Too,Champagne Pa,Even Closer To My Dreams,0.05092931202935209
0.841,0.242,100.14,0.11900000000000001,0.00040199999999999996,0.0,5,0.364,8,305840,-4.831,0.0837,1,audio_features,spotify:track:66cIVXwMJQKw4GnxIiCeP2,She Will,Lil Wayne,Tha Carter IV (Deluxe),0.05101638709684644
0.7340000000000001,0.11599999999999999,128.31,0.11699999999999999,0.0385,0.0,4,0.665,6,210360,-6.066,0.706,0,audio_features,spotify:track:1G0JddH0MHVg4VE03vheBm,Show Me A Good Time,Drake,Thank Me Later (Int'l Version),0.053765178905946315
0.813,0.36200000000000004,141.757,0.15,0.023,0.0,4,0.467,1,355004,-5.026,0.478,1,audio_features,spotify:track:4miAiHC7oVoCaPE5cPTudx,The Lights,Champagne Pa,Even Closer To My Dreams,0.05424727126385103
0.6579999999999999,0.0805,151.026,0.11,0.009009999999999999,0.0189,4,0.7559999999999999,0,227973,-7.124,0.9540000000000001,1,audio_features,spotify:track:3bnVNMCk5FJulcpS7aXJbY,Karaoke,Drake,Thank Me Later (Int'l Version),0.056128431590099157
0.698,0.0719,132.981,0.35,0.0924,0.0,5,0.48200000000000004,6,211853,-6.7010000000000005,0.899,0,audio_features,spotify:track:1Zjn2BMaHsXG43bTGuTZf0,Change You,Jenna,The Radio Singles,0.05819659469899474
0.467,0.242,150.783,0.0622,0.762,0.0,4,0.391,8,229373,-7.4510000000000005,0.46799999999999997,1,audio_features,spotify:track:5fX5REubGobYCqH6obz3nn,With You,Lil Wayne,I Am Not A Human Being (Explicit Version),0.05824589610260089
0.76,0.184,89.958,0.0587,0.0678,0.0,4,0.69,0,247933,-4.7780000000000005,0.46799999999999997,1,audio_features,spotify:track:3q2NeHhnBXrsphLcY4Exxj,I Invented Sex [feat. Drake],Trey Songz,Ready,0.06171187594505326
0.632,0.10800000000000001,124.931,0.033,0.0133,0.0,4,0.672,8,255280,-6.426,0.501,0,audio_features,spotify:track:07EN1w6em5L8Lt3H5ARcSO,Love Me,Lil Wayne,Love Me,0.0646635583109084
0.843,0.434,153.877,0.135,0.201,0.0,4,0.462,4,202173,-4.9030000000000005,0.494,0,audio_features,spotify:track:1eVr0CjFAfnnrNLyn87llQ,We In This 1.5 (feat. Drake and Future),DJ Drama,We In This 1.5 (feat. Drake and Future),0.0657125928595691
0.7440000000000001,0.319,76.171,0.252,0.0029100000000000003,0.0,4,0.605,4,313400,-5.5,0.743,1,audio_features,spotify:track:2Vf9DiamkE8MHbjj1BXoKG,EveryGirl In The World,Young Money,We Are Young Money,0.06689178636132825
0.737,0.11599999999999999,81.475,0.188,0.83,0.0,4,0.439,0,225360,-8.123,0.631,1,audio_features,spotify:track:31FWGQxshq14SCZvvyHae1,The Resistance,Drake,Thank Me Later (Int'l Version),0.06895138917475148
0.925,0.174,104.855,0.35,0.248,0.0,5,0.45899999999999996,5,357920,-1.327,0.5329999999999999,0,audio_features,spotify:track:0Bpkq4z0VfjkO7kUME8gks,Forever,Drake,Forever,0.07060270770204825
0.894,0.188,162.19299999999998,0.33,0.0951,0.0,4,0.431,5,258760,-2.673,0.604,0,audio_features,spotify:track:1GxHeBvQ9935Dd3cSfsfBa,Best I Ever Had,Drake,Thank Me Later (Int'l Version),0.07269264830196953
0.95,0.163,151.955,0.213,0.0114,0.0,4,0.677,1,251760,-3.807,0.8009999999999999,1,audio_features,spotify:track:68m5wT9BdSUhl60HOhiZGE,Mo Milly,Birdman,Pricele$$ (UK Deluxe Edition Explicit),0.07310267353018855
