energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,title,artist,album
0.716,0.252,176.618,0.39,0.737,0.0,4,0.559,11,275227,-3.964,0.504,0,audio_features,spotify:track:0mkjekH9rwp4Fg5PxzUTrd,0 To 100 / The Catch Up,Drake,0 To 100 / The Catch Up
0.619,0.31,152.105,0.231,0.0546,0.0,4,0.615,1,261267,-6.567,0.521,1,audio_features,spotify:track:0wjMiGwoS77eWwhsMfHAvy,4 My Town (Play Ball),Birdman,Pricele$$ (UK Deluxe Edition Explicit)
0.623,0.125,105.45,0.106,0.0248,0.0,4,0.859,2,180667,-8.596,0.482,1,audio_features,spotify:track:0GQKP2WgHvBA8Nzb4xZu36,6 God,Drake,If You're Reading This It's Too Late
0.535,0.114,78.974,0.449,0.217,0.0,4,0.812,4,167653,-9.306,0.321,1,audio_features,spotify:track:48S3Pfu533qMMgHXmV1ruh,6 Man,Drake,If You're Reading This It's Too Late
0.849,0.155,128.428,0.25,0.107,0.0,3,0.554,5,283307,-4.154,0.386,1,audio_features,spotify:track:0KPUIYMqfLBvpRCwZ9hpFs,6PM In New York,Drake,If You're Reading This It's Too Late
0.684,0.499,170.416,0.717,0.164,0.0,4,0.534,11,195720,-7.874,0.338,0,audio_features,spotify:track:5fcM0StdQxMjzulVGhFkHN,8 Out Of 10,Drake,Scorpion
0.699,0.246,99.991,0.044,0.00113,0.000779,4,0.703,2,255787,-7.322,0.0393,1,audio_features,spotify:track:28XwBLUtFxOGoWzovwsdyJ,9,Drake,Views
0.757,0.0762,172.938,0.384,0.262,1.72e-06,4,0.825,11,177733,-3.687,0.89,0,audio_features,spotify:track:0Qdbw4psZRGYANJauFqbdt,10 Bands,Drake,If You're Reading This It's Too Late
0.621,0.124,89.282,0.394,0.653,0.0,4,0.747,4,253935,-9.115,0.306,0,audio_features,spotify:track:5pJnRLlzUcRxrtYgfdUwvg,30 for 30 Freestyle,Drake,What A Time To Be Alive
0.521,0.179,108.025,0.28,0.0136,0.0,4,0.801,4,334360,-9.871,0.412,0,audio_features,spotify:track:46MFlm7p0Vqd0eXmLtDlN4,100 (feat. Drake),The Game,The Documentary 2
0.599,0.105,137.022,0.141,0.226,0.0489,4,0.82,10,265038,-9.796,0.356,0,audio_features,spotify:track:1XWcdNQvGrX32fH09CwuWI,100it Racks,Future,Project E.T.
0.487,0.204,99.438,0.281,0.0572,0.0,4,0.488,4,255827,-8.831,0.134,0,audio_features,spotify:track:5wTRsfZKeaQnQn8JeW8QYQ,305 To My City,Drake,Nothing Was The Same (Deluxe)
0.229,0.113,111.887,0.0333,0.558,0.0413,4,0.61,11,186293,-12.36,0.19,0,audio_features,spotify:track:3oQV2LqDmYJu6zkULJT1uj,4422,Drake,More Life
0.429,0.139,141.855,0.192,0.0386,0.0,4,0.65,2,289560,-13.071,0.333,1,audio_features,spotify:track:4IvenHmD0spfFDOKphoUDp,After Dark,Drake,Scorpion
0.511,0.181,122.029,0.395,0.0689,0.0,4,0.669,1,271573,-6.943,0.429,1,audio_features,spotify:track:5ngydCLbzCEdtu8SEOXhPU,All Me,Drake,Nothing Was The Same (Deluxe)
0.795,0.042,149.981,0.335,0.178,0.0,4,0.503,10,289707,-4.505,0.265,1,audio_features,spotify:track:6fcUfILqe3A1Wfixqy1VGy,Amen - feat. Drake,Meek Mill,Dreams and Nightmares
0.58,0.0497,171.917,0.209,0.0125,0.0,4,0.57,10,270627,-5.547,0.405,0,audio_features,spotify:track:4kqluSwcQs3kqfK82ZrB93,Aston Martin Music,Rick Ross,Teflon Don
0.673,0.136,148.019,0.315,0.329,0.0,4,0.833,1,149080,-6.981,0.753,0,audio_features,spotify:track:39liuGHPxn2sAyvO6DINor,Back On Road,Gucci Mane,Everybody Looking
0.48,0.116,86.976,0.356,0.00854,0.0,4,0.893,1,170638,-3.728,0.382,0,audio_features,spotify:track:4rujbg8RNFitwtkv1qEq4K,Back To Back,Drake,Back To Back
0.707,0.125,95.023,0.38,0.413,0.0,4,0.714,6,161613,-5.828,0.554,1,audio_features,spotify:track:3Ug5oZHXyhN3rpvNQJ1oV6,Bad Meaning Good,Slakah The Beatchild,"BBE20 - Attitude, Belief & Determination"
0.884,0.503,81.144,0.401,0.229,0.0,4,0.504,10,202240,-7.311,0.932,0,audio_features,spotify:track:0GjbslizkTJiMEPPPdsCBD,Barry Bonds,Champagne Pa,Closer To My Dreams
0.664,0.191,148.005,0.295,0.102,0.0,4,0.733,8,288133,-6.163,0.557,1,audio_features,spotify:track:1iiEQ7XN33cFEwAJm7w1Yv,BedRock,Young Money,We Are Young Money
0.482,0.111,92.023,0.181,0.281,0.0,4,0.842,10,337640,-8.846,0.205,0,audio_features,spotify:track:0MirjRAnvfJr3pumGsTwMi,Believe Me,Lil Wayne,Believe Me
0.894,0.188,162.193,0.33,0.0951,0.0,4,0.431,5,258760,-2.673,0.604,0,audio_features,spotify:track:1GxHeBvQ9935Dd3cSfsfBa,Best I Ever Had,Drake,Thank Me Later (Int'l Version)
