"","song","n","unique","proportion","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","album","energy","liveness","tempo","speechiness","acousticness","instrumentalness","time_signature","danceability","key","duration_ms","loudness","valence","mode","class"
"1","All Me",1053,380,0.360873694207028,0.0123456790123457,0.0113960113960114,0.0056980056980057,0.0113960113960114,0.0123456790123457,0.0208926875593542,0.0294396961063628,0.00949667616334283,0.00474833808167142,0.0151946818613485,"NWTS",0.511,0.181,122.029,0.395,0.0689,0,4,0.669,1,271573,-6.943,0.429,1,"Old Drake"
"2","Best I Ever Had",819,234,0.285714285714286,0.00488400488400488,0.0122100122100122,0.00244200244200244,0.00366300366300366,0.0134310134310134,0.00976800976800977,0.0231990231990232,0.00244200244200244,0.00732600732600733,0.0134310134310134,"So Far Gone",0.894,0.188,162.193,0.33,0.0951,0,4,0.431,5,258760,-2.673,0.604,0,"Old Drake"
"3","Buried Alive",462,250,0.541125541125541,0.025974025974026,0.0216450216450216,0.0238095238095238,0.0216450216450216,0.0194805194805195,0.0432900432900433,0.0324675324675325,0.0281385281385281,0.012987012987013,0.0173160173160173,"Take Care",0.543,0.505,102.01,0.112,0.412,0,4,0.711,0,150960,-12.692,0.801,1,"Old Drake"
"4","Cameras",484,162,0.334710743801653,0.00413223140495868,0.0103305785123967,0.00619834710743802,0.00206611570247934,0.0144628099173554,0.00413223140495868,0.0330578512396694,0.00206611570247934,0.00206611570247934,0.0144628099173554,"Take Care",0.403,0.13,139.92,0.147,0.255,1.27e-05,4,0.441,2,434960,-11.18,0.158,0,"Old Drake"
"5","Cece's Interlude",134,70,0.522388059701492,0.00746268656716418,0.0149253731343284,NA,0.00746268656716418,0.00746268656716418,0.0149253731343284,0.0149253731343284,0.00746268656716418,0.0149253731343284,0.00746268656716418,"Thank Me Later",0.603,0.115,94.992,0.0331,0.0538,5.83e-06,4,0.436,9,154120,-6.882,0.227,0,"Old Drake"
"6","Connect",506,233,0.460474308300395,0.00988142292490118,0.0158102766798419,0.00592885375494071,0.00395256916996047,0.0197628458498024,0.0256916996047431,0.0296442687747036,0.00988142292490118,0.00988142292490118,0.0237154150197628,"NWTS",0.492,0.145,75.067,0.157,0.414,0,4,0.675,6,296400,-9.516,0.472,0,"Old Drake"
"7","Crew Love",383,174,0.454308093994778,0.0130548302872063,0.02088772845953,0.010443864229765,0.00522193211488251,0.0156657963446475,0.0182767624020888,0.0261096605744125,0.0130548302872063,0.00522193211488251,0.02088772845953,"Take Care",0.546,0.229,160.152,0.238,0.227,0,4,0.418,0,208813,-9.057,0.294,0,"Old Drake"
"8","Doing It Wrong",372,90,0.241935483870968,0.00537634408602151,0.00537634408602151,0.00537634408602151,0.010752688172043,0.00537634408602151,0.0134408602150538,0.010752688172043,0.00806451612903226,0.00268817204301075,0.00268817204301075,"Take Care",0.172,0.108,101.275,0.0445,0.841,6.78e-05,4,0.397,6,265120,-15.698,0.123,0,"Old Drake"
"9","Fancy",947,315,0.332629355860612,0.00844772967265047,0.0126715945089757,0.00316789862724393,0.00422386483632524,0.00844772967265047,0.0158394931362196,0.0190073917634636,0.00527983104540655,0.00633579725448786,0.00844772967265047,"Thank Me Later",0.884,0.356,87.275,0.458,0.331,2e-06,4,0.517,2,319387,-5.581,0.282,0,"Old Drake"
"10","Find Your Love",325,88,0.270769230769231,NA,0.00615384615384615,NA,0.00923076923076923,0.00923076923076923,0.0153846153846154,0.0153846153846154,0.00923076923076923,0.00615384615384615,0.00923076923076923,"Thank Me Later",0.613,0.0286,96.034,0.173,0.0209,0,4,0.625,6,208947,-6.005,0.737,0,"Old Drake"
